Age,MaritalStatus,Gender,AnnualIncome,TotalChildren,ChildrenAtHomeCount,EducationLevel,WorkClass,HomeOwnership,CarsOwned,StateProvinceCode,PostalCode,SnowBlowerBuyer
62,S,M,31000,4,0,High School,Professional,0,2,OH,43101,0
52,S,M,76000,1,0,Bachelors,Professional,1,1,OH,43947,0
49,M,M,108000,3,2,Some College,Professional,1,4,OH,44572,0
70,M,M,28000,2,1,Some High School,Office,1,2,OH,45723,0
49,S,F,112000,1,1,Graduate Degree,Management,0,2,IA,52240,1
60,M,M,63000,3,2,Some College,Professional,0,0,IA,52240,0
64,S,F,76000,2,1,Some College,Professional,0,2,IA,52241,1
60,M,M,70000,5,0,Bachelors,Management,1,2,WI,53005,0
48,S,F,86000,4,3,High School,Professional,1,3,WI,53006,1
87,M,F,41000,3,0,Some College,Professional,1,2,WI,53007,0
53,S,M,62000,2,2,Bachelors,Skilled Labor,0,1,WI,53013,1
54,S,M,87000,4,3,High School,Professional,0,3,WI,53013,1
51,S,M,70000,2,2,Bachelors,Skilled Labor,1,1,WI,53017,0
78,S,M,69000,3,0,Graduate Degree,Management,1,2,WI,53024,0
85,M,F,90000,5,0,Bachelors,Management,1,2,WI,53025,0
50,M,M,62000,1,0,Graduate Degree,Skilled Labor,1,0,WI,53026,1
28,M,F,66000,0,0,Some College,Professional,1,2,WI,53027,0
50,M,F,85000,5,5,Some College,Professional,1,3,WI,53028,0
60,S,M,35000,4,0,High School,Professional,1,2,WI,53028,0
59,M,F,77000,2,1,Some College,Professional,1,0,WI,53030,0
65,M,M,55000,1,0,Some College,Office,1,1,WI,53030,0
47,M,F,61000,4,2,Bachelors,Professional,1,2,WI,53031,1
64,M,F,57000,3,0,Some College,Professional,0,2,WI,53031,1
45,M,F,42000,1,1,Bachelors,Skilled Labor,1,0,WI,53032,1
45,M,F,34000,2,0,High School,Skilled Labor,1,2,WI,53034,0
62,M,M,54000,5,0,High School,Professional,0,3,WI,53035,0
46,M,M,90000,3,3,Bachelors,Skilled Labor,0,0,WI,53037,0
47,S,F,66000,4,0,Graduate Degree,Skilled Labor,1,0,WI,53039,0
58,S,F,76000,2,1,High School,Professional,1,2,WI,53039,0
44,S,M,86000,3,3,Bachelors,Skilled Labor,1,1,WI,53040,0
54,S,F,117000,5,2,Some College,Professional,1,0,WI,53042,0
48,S,F,65000,2,2,Bachelors,Skilled Labor,1,0,WI,53043,1
43,S,M,97000,4,4,Some College,Skilled Labor,0,3,WI,53044,0
53,M,M,74000,4,0,Graduate Degree,Skilled Labor,1,0,WI,53045,0
58,M,F,32000,2,1,Some High School,Skilled Labor,0,3,WI,53050,0
46,M,M,53000,3,3,Bachelors,Skilled Labor,1,2,WI,53054,0
60,M,M,27000,1,0,Bachelors,Skilled Labor,1,1,WI,53054,0
42,M,F,46000,4,3,High School,Skilled Labor,1,2,WI,53055,0
66,M,M,65000,2,1,High School,Professional,1,2,WI,53055,1
45,S,F,109000,2,0,Bachelors,Management,0,3,WI,53059,1
28,S,M,26000,0,0,Some College,Skilled Labor,0,1,WI,53062,1
45,S,M,51000,3,3,Bachelors,Skilled Labor,1,2,WI,53062,1
69,S,M,86000,2,0,Some High School,Skilled Labor,1,2,WI,53062,0
45,S,F,64000,3,0,Graduate Degree,Professional,0,0,WI,53066,1
34,S,F,50000,0,0,High School,Skilled Labor,1,2,WI,53067,0
82,M,F,72000,2,0,Graduate Degree,Management,1,2,WI,53073,0
41,S,F,54000,0,0,Bachelors,Professional,0,1,WI,53075,0
60,M,M,62000,2,1,High School,Professional,1,2,WI,53075,0
30,S,F,40000,0,0,Some College,Skilled Labor,0,1,WI,53076,1
36,S,F,30000,0,0,Some High School,Office,1,2,WI,53077,1
50,S,F,57000,2,2,Bachelors,Skilled Labor,1,0,WI,53077,0
48,S,M,88000,4,4,Some College,Professional,0,3,WI,53079,0
46,M,F,107000,3,0,Bachelors,Management,1,3,WI,53080,0
58,S,M,70000,2,1,Some College,Professional,1,2,WI,53080,0
37,M,M,56000,0,0,Some College,Skilled Labor,1,1,WI,53081,0
50,S,F,70000,4,2,Bachelors,Skilled Labor,1,2,WI,53082,1
28,M,F,40000,3,3,Some College,Office,1,0,WI,53085,0
75,S,M,56000,2,0,Graduate Degree,Management,1,2,WI,53088,0
42,M,M,66000,5,5,Graduate Degree,Professional,0,2,WI,53091,0
48,S,M,67000,4,2,Bachelors,Professional,1,2,WI,53093,1
40,S,M,75000,2,2,Bachelors,Skilled Labor,0,0,WI,53094,1
63,M,F,75000,2,1,Some College,Professional,1,2,WI,53096,1
52,M,M,61000,0,0,Some College,Professional,1,2,WI,53097,0
69,S,F,23000,5,0,Some High School,Office,1,3,WI,53098,0
44,S,M,53000,2,2,Bachelors,Skilled Labor,1,1,WI,53100,1
58,M,F,40000,4,0,High School,Professional,0,2,WI,53101,1
57,M,M,33000,2,0,High School,Labor,0,2,WI,53103,0
59,M,F,121000,1,1,Graduate Degree,Management,1,4,WI,53104,1
64,S,M,88000,2,0,Some High School,Skilled Labor,0,2,WI,53105,1
66,S,M,61000,2,1,Some College,Professional,0,2,WI,53111,1
48,S,M,92000,3,3,Bachelors,Skilled Labor,0,2,WI,53113,0
29,S,M,49000,0,0,Some College,Skilled Labor,0,1,WI,53120,1
46,M,M,91000,3,0,Some College,Professional,0,2,WI,53122,1
49,S,F,42000,3,3,Some College,Office,1,0,WI,53123,0
52,M,M,75000,2,0,Some High School,Skilled Labor,0,2,WI,53123,0
43,S,M,111000,3,2,Some College,Professional,1,4,WI,53124,1
83,S,F,44000,2,0,Graduate Degree,Management,0,2,WI,53124,0
66,M,F,75000,2,0,High School,Professional,0,2,WI,53128,0
52,S,M,44000,0,0,Bachelors,Professional,0,1,WI,53131,0
44,M,M,80000,5,4,Some College,Professional,1,3,WI,53134,0
52,S,M,93000,5,5,Some College,Professional,0,4,WI,53135,0
62,S,F,65000,3,0,Some High School,Skilled Labor,1,2,WI,53135,0
44,M,M,108000,4,1,Some College,Professional,1,4,WI,53137,0
54,S,F,67000,0,0,Graduate Degree,Professional,1,0,WI,53138,1
49,M,M,76000,4,3,Some College,Professional,1,1,WI,53140,0
73,M,M,134000,2,4,Graduate Degree,Management,1,3,WI,53141,0
